id_institucion,nombre,cue,id_edificio,establecimiento_de_cabecera,nivel_educativo,categoria,ambito
"88","BATALLA DE MAIPU","700011100","35",,"PRIMARIO","TERCERA",
"89","ESCUELA TEC. CAP. LAB. REMEDIOS ESCALADA DE SAN MARTIN","700068900","35",,"TEC. CAP. LABORAL","TERCERA",
"90","J.I.N.Z. NÂº 24  ESC BATALLA DE MAIPU ANEXO","700105603","35",,"INICIAL","TERCERA",
"91","SATURNINO MARIA DE LASPIUR","700010800","36",,"PRIMARIO","TERCERA",
"92","J.I.N.Z. NÂº 25  ESC SATURNINO MARIA DE LASPIUR ANEXO","700105503","36",,"INICIAL","TERCERA",
"93","TTE. CORONEL ALVAREZ CONDARCO","700044800","37",,"ALBERGUE","TERCERA",
"94","J.I.N.Z. NÂº 25  ESC ALBERGUE TENIENTE CORONEL ALVAREZ CONDARCO ANEXO","700105505","37",,"INICIAL","TERCERA",
"95","J.I.N.Z. CAPITAL - PROVINCIA DE BUENOS AIRES ANEXO","700002401","38",,"INICIAL","PRIMERA",
"96","C.E.N.T. NÂ° 18","700030500","38",,"SUPERIOR","PRIMERA",
"97","PROVINCIA DE BUENOS AIRES","700060900","38",,"PRIMARIO","PRIMERA",
"98","PROPAA ZONA OESTE SEDE PROV BS AS","700066400","38",,"PROPAA","CUARTA",
"99","J.I.N.Z. CAPITAL - PROVINCIA DE SANTIAGO DEL ESTERO ANEXO","700002403","39",,"INICIAL","PRIMERA",
"100","ESCUELA SECUNDARIA DE COMERCIO GRAL. MANUEL BELGRANO","700030800","39",,"SECUNDARIO","PRIMERA",
"101","PROVINCIA DE SANTIAGO DEL ESTERO","700030900","39",,"PRIMARIO","PRIMERA",
"102","COLEGIO NACIONAL MONS. DR. PABLO CABRERA","700061700","40",,"SECUNDARIO","PRIMERA",
"103","LICEO PAULA ALBARRACIN DE SARMIENTO","700062200","40",,"SECUNDARIO","PRIMERA",
"104","ESCUELA COMERCIO NOCTURNA DR. SANTIAGO CORTINEZ","700062700","40",,"SECUNDARIO","PRIMERA",
"105","C.E.N.S. NÂ° 74 JUAN VUCETICH","700024200","41",,"CENS","TERCERA",
"106","COLEGIO PROVINCIAL CONCEPCION","700059800","41",,"SECUNDARIO","PRIMERA",
"107","FRAY JUSTO SANTA MARIA DE ORO","700060000","41",,"PRIMARIO","PRIMERA",
"108","E.N.I. NÂº 77","700115200","41",,"INICIAL","TERCERA",
"109","PROVINCIA DE SANTA FE","700054900","42",,"PRIMARIO","SEGUNDA",
"110","COLEGIO PROVINCIAL DE CAPITAL","700055500","42",,"SECUNDARIO","PRIMERA",
"111","DR. JUAN CRISOSTOMO ALBARRACIN","700058400","42",,"PRIMARIO","TERCERA",
"112","E.N.I. NÂº 35 ESTRELLA DE LOS ANDES","700087000","42",,"INICIAL","PRIMERA",
"113","NOCTURNA SARMIENTO","700012800","43",,"UEPA","TERCERA",
"114","PAULA ALBARRACIN DE SARMIENTO","700047700","43",,"PRIMARIO","PRIMERA",
"115","ESCUELA DE BIBLIOTECOLOGIA DR. MARIANO MORENO","700047800","43",,"SUPERIOR","PRIMERA",
"116","SARMIENTO","700048000","43",,"PRIMARIO","PRIMERA",
"117","ESCUELA TEC. CAP. LAB. SABINO PIGNATARI","700067400","43",,"TEC. CAP. LABORAL","SEGUNDA",
"118","ESCUELA NORMAL SUPERIOR GRAL. SAN MARTIN","700060500","44",,"INICIAL","PRIMERA",
"118","ESCUELA NORMAL SUPERIOR GRAL. SAN MARTIN","700060500","44",,"PRIMARIO","PRIMERA",
"118","ESCUELA NORMAL SUPERIOR GRAL. SAN MARTIN","700060500","44",,"SECUNDARIO","PRIMERA",
"118","ESCUELA NORMAL SUPERIOR GRAL. SAN MARTIN","700060500","44",,"SUPERIOR","PRIMERA",
"119","C.E.N.S. NÂº 69 PROFESORA MARIA DEL CARMEN CABALLERO VIDAL","700012900","45",,"CENS","TERCERA",
"120","ESCUELA SUPERIOR NORMAL SUPERIOR SARMIENTO","700025400","45",,"INICIAL","PRIMERA",
"120","ESCUELA SUPERIOR NORMAL SUPERIOR SARMIENTO","700025400","45",,"PRIMARIO","PRIMERA",
"120","ESCUELA SUPERIOR NORMAL SUPERIOR SARMIENTO","700025400","45",,"SECUNDARIO","PRIMERA",
"120","ESCUELA SUPERIOR NORMAL SUPERIOR SARMIENTO","700025400","45",,"SUPERIOR","PRIMERA",
"121","NOCTURNA JUAN B. ALBERDI ANEXO","700024401","46",,"UEPA","TERCERA",
"122","FRANCISCO NARCISO DE LAPRIDA","700042400","46",,"PRIMARIO","PRIMERA",
"123","BERNARDINO RIVADAVIA","700044000","46",,"PRIMARIO","PRIMERA",
"124","ESCUELA TEC. CAP. LAB. DOMINGO CAYETANO VALLVE","700079300","46",,"TEC. CAP. LABORAL","PRIMERA",
"125","ESCUELA SECUNDARIA DR. FRANCISCO NARCISO LAPRIDA","700089200","46",,"SECUNDARIO","TERCERA",
"126","C.E.N.S 348 MADRE TERESA DE CALCUTA","700000900","47",,"CENS","TERCERA",
"127","E.P.E.T. NÂ° 4","700026400","47",,"TECNICO","PRIMERA",
"128","NOCTURNA ANTONIO TORRES","700009600","48",,"UEPA","TERCERA",
